Genome ,Coverage,Genes
TPA_USL-BAL-2,1,TPANIC_RS00830
TPA_USL-BAL-2,1,TPANIC_RS00870
TPA_USL-BAL-2,1,TPANIC_RS01295
TPA_USL-BAL-2,1,TPANIC_RS01455
TPA_USL-BAL-2,1,TPANIC_RS01480
TPA_USL-BAL-2,1,TPANIC_RS01545
TPA_USL-BAL-2,1,TPANIC_RS01555 
TPA_USL-BAL-2,1,TPANIC_RS01560
TPA_USL-BAL-2,1,TPANIC_RS01590
TPA_USL-BAL-2,1,TPANIC_RS01595
TPA_USL-BAL-2,1,TPANIC_RS02115
TPA_USL-BAL-2,1,TPANIC_RS02120
TPA_USL-BAL-2,1,TPANIC_RS02210
TPA_USL-BAL-2,1,TPANIC_RS02260
TPA_USL-BAL-2,1,TPANIC_RS02345
TPA_USL-BAL-2,1,TPANIC_RS02370
TPA_USL-BAL-2,1,TPANIC_RS02405
TPA_USL-BAL-2,1,TPANIC_RS02520
TPA_USL-BAL-2,1,TPANIC_RS02695
TPA_USL-BAL-2,1,TPANIC_RS02820
TPA_USL-BAL-2,1,TPANIC_RS02830
TPA_USL-BAL-2,1,TPANIC_RS03015
TPA_USL-BAL-2,1,TPANIC_RS03060
TPA_USL-BAL-2,1,TPANIC_RS03065
TPA_USL-BAL-2,1,TPANIC_RS03070
TPA_USL-BAL-2,1,TPANIC_RS03170
TPA_USL-BAL-2,1,TPANIC_RS03175
TPA_USL-BAL-2,1,TPANIC_RS03245
TPA_USL-BAL-2,1,TPANIC_RS03475
TPA_USL-BAL-2,1,TPANIC_RS03635
TPA_USL-BAL-2,1,TPANIC_RS03715
TPA_USL-BAL-2,1,TPANIC_RS03720
TPA_USL-BAL-2,1,TPANIC_RS03800
TPA_USL-BAL-2,1,TPANIC_RS03805
TPA_USL-BAL-2,1,TPANIC_RS03940
TPA_USL-BAL-2,1,TPANIC_RS04050
TPA_USL-BAL-2,1,TPANIC_RS04235
TPA_USL-BAL-2,1,TPANIC_RS04240
TPA_USL-BAL-2,1,TPANIC_RS04245
TPA_USL-BAL-2,1,TPANIC_RS04270
TPA_USL-BAL-2,0.8625,TPANIC_RS04420
TPA_USL-BAL-2,1,TPANIC_RS04710
TPA_USL-BAL-2,1,TPANIC_RS04715
TPA_USL-BAL-2,1,TPANIC_RS04720
TPA_USL-BAL-2,1,TPANIC_RS04760
TPA_USL-BAL-2,1,TPANIC_RS04765
TPA_USL-BAL-2,1,TPANIC_RS04770
TPA_USL-BAL-2,1,TPANIC_RS04775
TPA_USL-BAL-2,1,TPANIC_RS04780
TPA_USL-BAL-2,1,TPANIC_RS04995
TPA_USL-BAL-2,1,TPANIC_RS05015
TPA_USL-BAL-2,0.995626,TPANIC_RS05095
TPA_USL-BAL-2,1,TPANIC_RS05095-377bp-del
TPA_USL-BAL-2,1,TPANIC_RS05130
TPA_USL-Haiti-B,1,TPANIC_RS05525
TPA_USL-Haiti-B,1,TPANIC_RS05530
TPA_USL-Haiti-B,1,TPANIC_RS05535
TPA_USL-Haiti-B,1,TPANIC_RS00045
TPA_USL-Haiti-B,1,TPANIC_RS00200
TPA_USL-Haiti-B,1,TPANIC_RS00450
TPA_USL-Haiti-B,1,TPANIC_RS00560
TPA_USL-Haiti-B,1,TPANIC_RS00590
TPA_USL-Haiti-B,1,TPANIC_RS00635
TPA_USL-Haiti-B,1,TPANIC_RS00665
TPA_USL-Haiti-B,1,TPANIC_RS00675
TPA_USL-Haiti-B,1,TPANIC_RS00680
TPA_USL-Haiti-B,1,TPANIC_RS00695
TPA_USL-Haiti-B,1,TPANIC_RS00795
TPA_USL-Haiti-B,1,TPANIC_RS00830
TPA_USL-Haiti-B,1,TPANIC_RS00870
TPA_USL-Haiti-B,1,TPANIC_RS01295
TPA_USL-Haiti-B,1,TPANIC_RS01455
TPA_USL-Haiti-B,1,TPANIC_RS01480
TPA_USL-Haiti-B,1,TPANIC_RS01545
TPA_USL-Haiti-B,1,TPANIC_RS01555 
TPA_USL-Haiti-B,1,TPANIC_RS01560
TPA_USL-Haiti-B,1,TPANIC_RS01590
TPA_USL-Haiti-B,1,TPANIC_RS01595
TPA_USL-Haiti-B,1,TPANIC_RS02115
TPA_USL-Haiti-B,1,TPANIC_RS02120
TPA_USL-Haiti-B,1,TPANIC_RS02210
TPA_USL-Haiti-B,1,TPANIC_RS02260
TPA_USL-Haiti-B,1,TPANIC_RS02345
TPA_USL-Haiti-B,1,TPANIC_RS02370
TPA_USL-Haiti-B,1,TPANIC_RS02405
TPA_USL-Haiti-B,1,TPANIC_RS02520
TPA_USL-Haiti-B,1,TPANIC_RS02695
TPA_USL-Haiti-B,1,TPANIC_RS02820
TPA_USL-Haiti-B,1,TPANIC_RS02830
TPA_USL-Haiti-B,1,TPANIC_RS03015
TPA_USL-Haiti-B,1,TPANIC_RS03060
TPA_USL-Haiti-B,1,TPANIC_RS03065
TPA_USL-Haiti-B,1,TPANIC_RS03070
TPA_USL-Haiti-B,1,TPANIC_RS03170
TPA_USL-Haiti-B,1,TPANIC_RS03175
TPA_USL-Haiti-B,1,TPANIC_RS03245
TPA_USL-Haiti-B,1,TPANIC_RS03475
TPA_USL-Haiti-B,1,TPANIC_RS03635
TPA_USL-Haiti-B,1,TPANIC_RS03715
TPA_USL-Haiti-B,1,TPANIC_RS03720
TPA_USL-Haiti-B,1,TPANIC_RS03800
TPA_USL-Haiti-B,1,TPANIC_RS03805
TPA_USL-Haiti-B,1,TPANIC_RS03940
TPA_USL-Haiti-B,1,TPANIC_RS04050
TPA_USL-Haiti-B,1,TPANIC_RS04235
TPA_USL-Haiti-B,1,TPANIC_RS04240
TPA_USL-Haiti-B,1,TPANIC_RS04245
TPA_USL-Haiti-B,1,TPANIC_RS04270
TPA_USL-Haiti-B,0.8065789,TPANIC_RS04420
TPA_USL-Haiti-B,1,TPANIC_RS04710
TPA_USL-Haiti-B,1,TPANIC_RS04715
TPA_USL-Haiti-B,1,TPANIC_RS04720
TPA_USL-Haiti-B,1,TPANIC_RS04760
TPA_USL-Haiti-B,1,TPANIC_RS04765
TPA_USL-Haiti-B,1,TPANIC_RS04770
TPA_USL-Haiti-B,1,TPANIC_RS04775
TPA_USL-Haiti-B,1,TPANIC_RS04780
TPA_USL-Haiti-B,1,TPANIC_RS04995
TPA_USL-Haiti-B,1,TPANIC_RS05015
TPA_USL-Haiti-B,1,TPANIC_RS05095
TPA_USL-Haiti-B,1,TPANIC_RS05095-377bp-del
TPA_USL-Haiti-B,1,TPANIC_RS05130
TPA_USL-Phil-3,1,TPANIC_RS05525
TPA_USL-Phil-3,1,TPANIC_RS05530
TPA_USL-Phil-3,1,TPANIC_RS05535
TPA_USL-Phil-3,1,TPANIC_RS00045
TPA_USL-Phil-3,1,TPANIC_RS00200
TPA_USL-Phil-3,1,TPANIC_RS00450
TPA_USL-Phil-3,1,TPANIC_RS00560
TPA_USL-Phil-3,1,TPANIC_RS00590
TPA_USL-Phil-3,1,TPANIC_RS00635
TPA_USL-Phil-3,1,TPANIC_RS00665
TPA_USL-Phil-3,1,TPANIC_RS00675
TPA_USL-Phil-3,1,TPANIC_RS00680
TPA_USL-Phil-3,1,TPANIC_RS00695
TPA_USL-Phil-3,1,TPANIC_RS00795
TPA_USL-Phil-3,1,TPANIC_RS00830
TPA_USL-Phil-3,1,TPANIC_RS00870
TPA_USL-Phil-3,1,TPANIC_RS01295
TPA_USL-Phil-3,1,TPANIC_RS01455
TPA_USL-Phil-3,1,TPANIC_RS01480
TPA_USL-Phil-3,1,TPANIC_RS01545
TPA_USL-Phil-3,1,TPANIC_RS01555 
TPA_USL-Phil-3,1,TPANIC_RS01560
TPA_USL-Phil-3,1,TPANIC_RS01590
TPA_USL-Phil-3,1,TPANIC_RS01595
TPA_USL-Phil-3,1,TPANIC_RS02115
TPA_USL-Phil-3,1,TPANIC_RS02120
TPA_USL-Phil-3,1,TPANIC_RS02210
TPA_USL-Phil-3,1,TPANIC_RS02260
TPA_USL-Phil-3,1,TPANIC_RS02345
TPA_USL-Phil-3,1,TPANIC_RS02370
TPA_USL-Phil-3,1,TPANIC_RS02405
TPA_USL-Phil-3,1,TPANIC_RS02520
TPA_USL-Phil-3,1,TPANIC_RS02695
TPA_USL-Phil-3,1,TPANIC_RS02820
TPA_USL-Phil-3,1,TPANIC_RS02830
TPA_USL-Phil-3,1,TPANIC_RS03015
TPA_USL-Phil-3,1,TPANIC_RS03060
TPA_USL-Phil-3,1,TPANIC_RS03065
TPA_USL-Phil-3,1,TPANIC_RS03070
TPA_USL-Phil-3,1,TPANIC_RS03170
TPA_USL-Phil-3,1,TPANIC_RS03175
TPA_USL-Phil-3,1,TPANIC_RS03245
TPA_USL-Phil-3,1,TPANIC_RS03475
TPA_USL-Phil-3,1,TPANIC_RS03635
TPA_USL-Phil-3,1,TPANIC_RS03715
TPA_USL-Phil-3,1,TPANIC_RS03720
TPA_USL-Phil-3,1,TPANIC_RS03800
TPA_USL-Phil-3,1,TPANIC_RS03805
TPA_USL-Phil-3,1,TPANIC_RS03940
TPA_USL-Phil-3,1,TPANIC_RS04050
TPA_USL-Phil-3,1,TPANIC_RS04235
TPA_USL-Phil-3,1,TPANIC_RS04240
TPA_USL-Phil-3,1,TPANIC_RS04245
TPA_USL-Phil-3,1,TPANIC_RS04270
TPA_USL-Phil-3,0.75,TPANIC_RS04420
TPA_USL-Phil-3,1,TPANIC_RS04710
TPA_USL-Phil-3,1,TPANIC_RS04715
TPA_USL-Phil-3,1,TPANIC_RS04720
TPA_USL-Phil-3,1,TPANIC_RS04760
TPA_USL-Phil-3,1,TPANIC_RS04765
TPA_USL-Phil-3,1,TPANIC_RS04770
TPA_USL-Phil-3,1,TPANIC_RS04775
TPA_USL-Phil-3,1,TPANIC_RS04780
TPA_USL-Phil-3,1,TPANIC_RS04995
TPA_USL-Phil-3,1,TPANIC_RS05015
TPA_USL-Phil-3,1,TPANIC_RS05095
TPA_USL-Phil-3,1,TPANIC_RS05095-377bp-del
TPA_USL-Phil-3,1,TPANIC_RS05130
TPA_USL-SEA-81-8,1,TPANIC_RS05525
TPA_USL-SEA-81-8,1,TPANIC_RS05530
TPA_USL-SEA-81-8,1,TPANIC_RS05535
TPA_USL-SEA-81-8,1,TPANIC_RS00045
TPA_USL-SEA-81-8,1,TPANIC_RS00200
TPA_USL-SEA-81-8,1,TPANIC_RS00450
TPA_USL-SEA-81-8,1,TPANIC_RS00560
TPA_USL-SEA-81-8,1,TPANIC_RS00590
TPA_USL-SEA-81-8,1,TPANIC_RS00635
TPA_USL-SEA-81-8,1,TPANIC_RS00665
TPA_USL-SEA-81-8,1,TPANIC_RS00675
TPA_USL-SEA-81-8,1,TPANIC_RS00680
TPA_USL-SEA-81-8,0.8930733,TPANIC_RS00695
TPA_USL-SEA-81-8,1,TPANIC_RS00795
TPA_USL-SEA-81-8,1,TPANIC_RS00830
TPA_USL-SEA-81-8,1,TPANIC_RS00870
TPA_USL-SEA-81-8,1,TPANIC_RS01295
TPA_USL-SEA-81-8,1,TPANIC_RS01455
TPA_USL-SEA-81-8,1,TPANIC_RS01480
TPA_USL-SEA-81-8,1,TPANIC_RS01545
TPA_USL-SEA-81-8,1,TPANIC_RS01555 
TPA_USL-SEA-81-8,1,TPANIC_RS01560
TPA_USL-SEA-81-8,1,TPANIC_RS01590
TPA_USL-SEA-81-8,1,TPANIC_RS01595
TPA_USL-SEA-81-8,1,TPANIC_RS02115
TPA_USL-SEA-81-8,1,TPANIC_RS02120
TPA_USL-SEA-81-8,1,TPANIC_RS02210
TPA_USL-SEA-81-8,1,TPANIC_RS02260
TPA_USL-SEA-81-8,1,TPANIC_RS02345
TPA_USL-SEA-81-8,1,TPANIC_RS02370
TPA_USL-SEA-81-8,1,TPANIC_RS02405
TPA_USL-SEA-81-8,1,TPANIC_RS02520
TPA_USL-SEA-81-8,1,TPANIC_RS02695
TPA_USL-SEA-81-8,1,TPANIC_RS02820
TPA_USL-SEA-81-8,1,TPANIC_RS02830
TPA_USL-SEA-81-8,1,TPANIC_RS03015
TPA_USL-SEA-81-8,1,TPANIC_RS03060
TPA_USL-SEA-81-8,1,TPANIC_RS03065
TPA_USL-SEA-81-8,1,TPANIC_RS03070
TPA_USL-SEA-81-8,1,TPANIC_RS03170
TPA_USL-SEA-81-8,1,TPANIC_RS03175
TPA_USL-SEA-81-8,1,TPANIC_RS03245
TPA_USL-SEA-81-8,1,TPANIC_RS03475
TPA_USL-SEA-81-8,1,TPANIC_RS03635
TPA_USL-SEA-81-8,1,TPANIC_RS03715
TPA_USL-SEA-81-8,1,TPANIC_RS03720
TPA_USL-SEA-81-8,1,TPANIC_RS03800
TPA_USL-SEA-81-8,1,TPANIC_RS03805
TPA_USL-SEA-81-8,1,TPANIC_RS03940
TPA_USL-SEA-81-8,1,TPANIC_RS04050
TPA_USL-SEA-81-8,1,TPANIC_RS04235
TPA_USL-SEA-81-8,1,TPANIC_RS04240
TPA_USL-SEA-81-8,1,TPANIC_RS04245
TPA_USL-SEA-81-8,1,TPANIC_RS04270
TPA_USL-SEA-81-8,0.9,TPANIC_RS04420
TPA_USL-SEA-81-8,1,TPANIC_RS04710
TPA_USL-SEA-81-8,1,TPANIC_RS04715
TPA_USL-SEA-81-8,1,TPANIC_RS04720
TPA_USL-SEA-81-8,1,TPANIC_RS04760
TPA_USL-SEA-81-8,1,TPANIC_RS04765
TPA_USL-SEA-81-8,1,TPANIC_RS04770
TPA_USL-SEA-81-8,1,TPANIC_RS04775
TPA_USL-SEA-81-8,1,TPANIC_RS04780
TPA_USL-SEA-81-8,1,TPANIC_RS04995
TPA_USL-SEA-81-8,1,TPANIC_RS05015
TPA_USL-SEA-81-8,0.9923456,TPANIC_RS05095
TPA_USL-SEA-81-8,1,TPANIC_RS05095-377bp-del
TPA_USL-SEA-81-8,1,TPANIC_RS05130
TPA_ZIM016,1,TPANIC_RS05525
TPA_ZIM016,0.7398844,TPANIC_RS05530
TPA_ZIM016,0.982699,TPANIC_RS05535
TPA_ZIM016,1,TPANIC_RS00045
TPA_ZIM016,0.9803601,TPANIC_RS00200
TPA_ZIM016,1,TPANIC_RS00450
TPA_ZIM016,1,TPANIC_RS00560
TPA_ZIM016,0.9821826,TPANIC_RS00590
TPA_ZIM016,1,TPANIC_RS00635
TPA_ZIM016,0.94098,TPANIC_RS00665
TPA_ZIM016,0.9805195,TPANIC_RS00675
TPA_ZIM016,0.8734514,TPANIC_RS00680
TPA_ZIM016,0.7188971,TPANIC_RS00695
TPA_ZIM016,0.7775785,TPANIC_RS00795
TPA_ZIM016,0.8531318,TPANIC_RS00830
TPA_ZIM016,1,TPANIC_RS00870
TPA_ZIM016,0.9682243,TPANIC_RS01295
TPA_ZIM016,0.9577015,TPANIC_RS01455
TPA_ZIM016,0.6197866,TPANIC_RS01480
TPA_ZIM016,0.9204546,TPANIC_RS01545
TPA_ZIM016,1,TPANIC_RS01555 
TPA_ZIM016,0.9823788,TPANIC_RS01560
TPA_ZIM016,0.9275766,TPANIC_RS01590
TPA_ZIM016,0.9189189,TPANIC_RS01595
TPA_ZIM016,0.9746417,TPANIC_RS02115
TPA_ZIM016,0.9765958,TPANIC_RS02120
TPA_ZIM016,0.9096176,TPANIC_RS02210
TPA_ZIM016,0.8751962,TPANIC_RS02260
TPA_ZIM016,0.9306358,TPANIC_RS02345
TPA_ZIM016,0.8730785,TPANIC_RS02370
TPA_ZIM016,0.9416894,TPANIC_RS02405
TPA_ZIM016,0.9307563,TPANIC_RS02520
TPA_ZIM016,0.8174847,TPANIC_RS02695
TPA_ZIM016,0.9699248,TPANIC_RS02820
TPA_ZIM016,0.9601227,TPANIC_RS02830
TPA_ZIM016,1,TPANIC_RS03015
TPA_ZIM016,1,TPANIC_RS03060
TPA_ZIM016,0.9901586,TPANIC_RS03065
TPA_ZIM016,1,TPANIC_RS03070
TPA_ZIM016,1,TPANIC_RS03170
TPA_ZIM016,0.9859002,TPANIC_RS03175
TPA_ZIM016,0.8996176,TPANIC_RS03245
TPA_ZIM016,1,TPANIC_RS03475
TPA_ZIM016,1,TPANIC_RS03635
TPA_ZIM016,1,TPANIC_RS03715
TPA_ZIM016,0.943899,TPANIC_RS03720
TPA_ZIM016,0.7116683,TPANIC_RS03800
TPA_ZIM016,0.8986694,TPANIC_RS03805
TPA_ZIM016,1,TPANIC_RS03940
TPA_ZIM016,0.975162,TPANIC_RS04050
TPA_ZIM016,0.9510135,TPANIC_RS04235
TPA_ZIM016,0.7434378,TPANIC_RS04240
TPA_ZIM016,0.9993262,TPANIC_RS04245
TPA_ZIM016,0.904795,TPANIC_RS04270
TPA_ZIM016,0.3960526,TPANIC_RS04420
TPA_ZIM016,1,TPANIC_RS04710
TPA_ZIM016,0.9085603,TPANIC_RS04715
TPA_ZIM016,0.9199157,TPANIC_RS04720
TPA_ZIM016,0.884333,TPANIC_RS04760
TPA_ZIM016,0.9793947,TPANIC_RS04765
TPA_ZIM016,0.9364005,TPANIC_RS04770
TPA_ZIM016,0.974587,TPANIC_RS04775
TPA_ZIM016,1,TPANIC_RS04780
TPA_ZIM016,0.9946524,TPANIC_RS04995
TPA_ZIM016,1,TPANIC_RS05015
TPA_ZIM016,0.9327502,TPANIC_RS05095
TPA_ZIM016,0.8645161,TPANIC_RS05095-377bp-del
TPA_ZIM016,1,TPANIC_RS05130
TPA_ZIM018,1,TPANIC_RS05525
TPA_ZIM018,1,TPANIC_RS05530
TPA_ZIM018,1,TPANIC_RS05535
TPA_ZIM018,1,TPANIC_RS00045
TPA_ZIM018,1,TPANIC_RS00200
TPA_ZIM018,1,TPANIC_RS00450
TPA_ZIM018,1,TPANIC_RS00560
TPA_ZIM018,1,TPANIC_RS00590
TPA_ZIM018,1,TPANIC_RS00635
TPA_ZIM018,1,TPANIC_RS00665
TPA_ZIM018,1,TPANIC_RS00675
TPA_ZIM018,1,TPANIC_RS00680
TPA_ZIM018,0.9872226,TPANIC_RS00695
TPA_ZIM018,1,TPANIC_RS00795
TPA_ZIM018,1,TPANIC_RS00830
TPA_ZIM018,1,TPANIC_RS00870
TPA_ZIM018,1,TPANIC_RS01295
TPA_ZIM018,1,TPANIC_RS01455
TPA_ZIM018,1,TPANIC_RS01480
TPA_ZIM018,1,TPANIC_RS01545
TPA_ZIM018,1,TPANIC_RS01555 
TPA_ZIM018,1,TPANIC_RS01560
TPA_ZIM018,0.98846,TPANIC_RS01590
TPA_ZIM018,1,TPANIC_RS01595
TPA_ZIM018,1,TPANIC_RS02115
TPA_ZIM018,1,TPANIC_RS02120
TPA_ZIM018,1,TPANIC_RS02210
TPA_ZIM018,1,TPANIC_RS02260
TPA_ZIM018,1,TPANIC_RS02345
TPA_ZIM018,1,TPANIC_RS02370
TPA_ZIM018,1,TPANIC_RS02405
TPA_ZIM018,1,TPANIC_RS02520
TPA_ZIM018,1,TPANIC_RS02695
TPA_ZIM018,1,TPANIC_RS02820
TPA_ZIM018,1,TPANIC_RS02830
TPA_ZIM018,1,TPANIC_RS03015
TPA_ZIM018,1,TPANIC_RS03060
TPA_ZIM018,1,TPANIC_RS03065
TPA_ZIM018,1,TPANIC_RS03070
TPA_ZIM018,1,TPANIC_RS03170
TPA_ZIM018,1,TPANIC_RS03175
TPA_ZIM018,1,TPANIC_RS03245
TPA_ZIM018,1,TPANIC_RS03475
TPA_ZIM018,1,TPANIC_RS03635
TPA_ZIM018,1,TPANIC_RS03715
TPA_ZIM018,1,TPANIC_RS03720
TPA_ZIM018,1,TPANIC_RS03800
TPA_ZIM018,1,TPANIC_RS03805
TPA_ZIM018,1,TPANIC_RS03940
TPA_ZIM018,1,TPANIC_RS04050
TPA_ZIM018,1,TPANIC_RS04235
TPA_ZIM018,1,TPANIC_RS04240
TPA_ZIM018,1,TPANIC_RS04245
TPA_ZIM018,1,TPANIC_RS04270
TPA_ZIM018,0.5868421,TPANIC_RS04420
TPA_ZIM018,1,TPANIC_RS04710
TPA_ZIM018,1,TPANIC_RS04715
TPA_ZIM018,1,TPANIC_RS04720
TPA_ZIM018,1,TPANIC_RS04760
TPA_ZIM018,1,TPANIC_RS04765
TPA_ZIM018,1,TPANIC_RS04770
TPA_ZIM018,1,TPANIC_RS04775
TPA_ZIM018,1,TPANIC_RS04780
TPA_ZIM018,1,TPANIC_RS04995
TPA_ZIM018,1,TPANIC_RS05015
TPA_ZIM018,1,TPANIC_RS05095
TPA_ZIM018,1,TPANIC_RS05095-377bp-del
TPA_ZIM018,1,TPANIC_RS05130
Turku,0.8565217,TPANIC_RS05525
Turku,0.8323699,TPANIC_RS05530
Turku,0.8702422,TPANIC_RS05535
Turku,0.8693239,TPANIC_RS00045
Turku,0.8715221,TPANIC_RS00200
Turku,0.5758197,TPANIC_RS00450
Turku,0.8986577,TPANIC_RS00560
Turku,0.8685969,TPANIC_RS00590
Turku,0.9150522,TPANIC_RS00635
Turku,0.8814031,TPANIC_RS00665
Turku,0.6087663,TPANIC_RS00675
Turku,0.9380531,TPANIC_RS00680
Turku,0.5252185,TPANIC_RS00695
Turku,0.9049327,TPANIC_RS00795
Turku,0.8930886,TPANIC_RS00830
Turku,0.9392523,TPANIC_RS00870
Turku,0.9046729,TPANIC_RS01295
Turku,0.8563448,TPANIC_RS01455
Turku,0.9447139,TPANIC_RS01480
Turku,0.8658217,TPANIC_RS01545
Turku,0.9623116,TPANIC_RS01555 
Turku,1,TPANIC_RS01560
Turku,0.8865897,TPANIC_RS01590
Turku,0.6505792,TPANIC_RS01595
Turku,0.8869901,TPANIC_RS02115
Turku,0.8234043,TPANIC_RS02120
Turku,0.94438,TPANIC_RS02210
Turku,0.4160126,TPANIC_RS02260
Turku,0.867052,TPANIC_RS02345
Turku,0.8005518,TPANIC_RS02370
Turku,0.93297,TPANIC_RS02405
Turku,0.9193277,TPANIC_RS02520
Turku,0.7269939,TPANIC_RS02695
Turku,0.9142857,TPANIC_RS02820
Turku,0.9570552,TPANIC_RS02830
Turku,0.84815,TPANIC_RS03015
Turku,0.6437126,TPANIC_RS03060
Turku,0.961181,TPANIC_RS03065
Turku,0.7768014,TPANIC_RS03070
Turku,0.6292658,TPANIC_RS03170
Turku,0.7960954,TPANIC_RS03175
Turku,0.8699809,TPANIC_RS03245
Turku,0.7066327,TPANIC_RS03475
Turku,0.8057663,TPANIC_RS03635
Turku,0.8912072,TPANIC_RS03715
Turku,0.7293128,TPANIC_RS03720
Turku,0.7647059,TPANIC_RS03800
Turku,0.7922211,TPANIC_RS03805
Turku,0.8014706,TPANIC_RS03940
Turku,0.8747301,TPANIC_RS04050
Turku,0.7778716,TPANIC_RS04235
Turku,0.6240474,TPANIC_RS04240
Turku,0.8059299,TPANIC_RS04245
Turku,0.9318972,TPANIC_RS04270
Turku,0.6348684,TPANIC_RS04420
Turku,0.791967,TPANIC_RS04710
Turku,0.7422179,TPANIC_RS04715
Turku,0.8256059,TPANIC_RS04720
Turku,0.7900857,TPANIC_RS04760
Turku,0.719897,TPANIC_RS04765
Turku,0.6474966,TPANIC_RS04770
Turku,0.9167725,TPANIC_RS04775
Turku,0.990228,TPANIC_RS04780
Turku,0.942246,TPANIC_RS04995
Turku,0.9852535,TPANIC_RS05015
Turku,0.7326408,TPANIC_RS05095
Turku,0,TPANIC_RS05095-377bp-del
Turku,0.9662289,TPANIC_RS05130
UW279B,1,TPANIC_RS05525
UW279B,1,TPANIC_RS05530
UW279B,1,TPANIC_RS05535
UW279B,1,TPANIC_RS00045
UW279B,1,TPANIC_RS00200
UW279B,1,TPANIC_RS00450
UW279B,1,TPANIC_RS00560
UW279B,1,TPANIC_RS00590
UW279B,1,TPANIC_RS00635
UW279B,1,TPANIC_RS00665
UW279B,1,TPANIC_RS00675
UW279B,1,TPANIC_RS00680
UW279B,1,TPANIC_RS00695
UW279B,1,TPANIC_RS00795
UW279B,1,TPANIC_RS00830
UW279B,1,TPANIC_RS00870
UW279B,1,TPANIC_RS01295
UW279B,1,TPANIC_RS01455
UW279B,1,TPANIC_RS01480
UW279B,1,TPANIC_RS01545
UW279B,1,TPANIC_RS01555 
UW279B,1,TPANIC_RS01560
UW279B,1,TPANIC_RS01590
UW279B,1,TPANIC_RS01595
UW279B,1,TPANIC_RS02115
UW279B,1,TPANIC_RS02120
UW279B,1,TPANIC_RS02210
UW279B,1,TPANIC_RS02260
UW279B,1,TPANIC_RS02345
UW279B,1,TPANIC_RS02370
UW279B,1,TPANIC_RS02405
UW279B,1,TPANIC_RS02520
UW279B,1,TPANIC_RS02695
UW279B,1,TPANIC_RS02820
UW279B,1,TPANIC_RS02830
UW279B,1,TPANIC_RS03015
UW279B,1,TPANIC_RS03060
UW279B,1,TPANIC_RS03065
UW279B,1,TPANIC_RS03070
UW279B,1,TPANIC_RS03170
UW279B,1,TPANIC_RS03175
UW279B,1,TPANIC_RS03245
UW279B,1,TPANIC_RS03475
UW279B,1,TPANIC_RS03635
UW279B,1,TPANIC_RS03715
UW279B,1,TPANIC_RS03720
UW279B,1,TPANIC_RS03800
UW279B,1,TPANIC_RS03805
UW279B,1,TPANIC_RS03940
UW279B,1,TPANIC_RS04050
UW279B,1,TPANIC_RS04235
UW279B,1,TPANIC_RS04240
UW279B,1,TPANIC_RS04245
UW279B,1,TPANIC_RS04270
UW279B,0.8539473,TPANIC_RS04420
UW279B,1,TPANIC_RS04710
UW279B,1,TPANIC_RS04715
UW279B,1,TPANIC_RS04720
UW279B,1,TPANIC_RS04760
UW279B,1,TPANIC_RS04765
UW279B,1,TPANIC_RS04770
UW279B,1,TPANIC_RS04775
UW279B,1,TPANIC_RS04780
UW279B,1,TPANIC_RS04995
UW279B,1,TPANIC_RS05015
UW279B,1,TPANIC_RS05095
UW279B,1,TPANIC_RS05095-377bp-del
UW279B,1,TPANIC_RS05130
DFU001,1,TPANIC_RS05525
DFU001,1,TPANIC_RS05530
DFU001,1,TPANIC_RS05535
DFU001,1,TPANIC_RS00045
DFU001,1,TPANIC_RS00200
DFU001,1,TPANIC_RS00450
DFU001,1,TPANIC_RS00560
DFU001,0.9699332,TPANIC_RS00590
DFU001,1,TPANIC_RS00635
DFU001,0.9699332,TPANIC_RS00665
DFU001,0.9602273,TPANIC_RS00675
DFU001,0.9831858,TPANIC_RS00680
DFU001,0.8567586,TPANIC_RS00695
DFU001,1,TPANIC_RS00795
DFU001,1,TPANIC_RS00830
DFU001,1,TPANIC_RS00870
DFU001,1,TPANIC_RS01295
DFU001,1,TPANIC_RS01455
DFU001,1,TPANIC_RS01480
DFU001,0.9973776,TPANIC_RS01545
DFU001,0.980737,TPANIC_RS01555 
DFU001,1,TPANIC_RS01560
DFU001,0.9964186,TPANIC_RS01590
DFU001,1,TPANIC_RS01595
DFU001,0.9796031,TPANIC_RS02115
DFU001,1,TPANIC_RS02120
DFU001,1,TPANIC_RS02210
DFU001,0.8767661,TPANIC_RS02260
DFU001,0.9661437,TPANIC_RS02345
DFU001,0.9664959,TPANIC_RS02370
DFU001,1,TPANIC_RS02405
DFU001,0.997647,TPANIC_RS02520
DFU001,0.9639571,TPANIC_RS02695
DFU001,1,TPANIC_RS02820
DFU001,0.9984663,TPANIC_RS02830
DFU001,1,TPANIC_RS03015
DFU001,0.7275449,TPANIC_RS03060
DFU001,0.9814106,TPANIC_RS03065
DFU001,0.7899824,TPANIC_RS03070
DFU001,1,TPANIC_RS03170
DFU001,1,TPANIC_RS03175
DFU001,1,TPANIC_RS03245
DFU001,1,TPANIC_RS03475
DFU001,0.9377845,TPANIC_RS03635
DFU001,1,TPANIC_RS03715
DFU001,1,TPANIC_RS03720
DFU001,1,TPANIC_RS03800
DFU001,1,TPANIC_RS03805
DFU001,0.9898897,TPANIC_RS03940
DFU001,1,TPANIC_RS04050
DFU001,0.9619932,TPANIC_RS04235
DFU001,0.8425063,TPANIC_RS04240
